nama,kelas,username,password,nisn,tempat_lahir,tanggal_lahir,nik,alamat,nomor_hp,email,role_id
,,,,,,,,,,,
ABIL SIDDIQ ARSALAAN,1A,@abil0208,abil137,3180585627,Pekanbaru,02-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Abil Siddiq Arsalaan,1A,@abil0308,abil494,3180585628,Pekanbaru,03-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Ahmad Fauzan,1A,@ahmad0408,ahmad361,3180585629,Pekanbaru,04-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Budi Prasetyo,1A,@budi0508,budi771,3180585630,Pekanbaru,05-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Clara Azzahra,1A,@clara0608,clara773,3180585631,Pekanbaru,06-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Dita Maharani,1A,@dita0708,dita738,3180585632,Pekanbaru,07-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Eko Saputra,1A,@eko0808,eko102,3180585633,Pekanbaru,08-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Fira Anjani,1A,@fira0908,fira454,3180585634,Pekanbaru,09-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Gilang Ramadhan,1A,@gilang1008,gilang129,3180585635,Pekanbaru,10-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Hana Meilani,1A,@hana1108,hana590,3180585636,Pekanbaru,11-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Iqbal Maulana,1A,@iqbal1208,iqbal108,3180585637,Pekanbaru,12-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Joko Santoso,1A,@joko1308,joko798,3180585638,Pekanbaru,13-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
